base|N BC|Fournisseur|Dscription|FreeTxt|Pole Support|Comments|Qte Cmd|PU|Remise|Total|Total Ap Rem|N RC|Qte Rec|
AM_PROINVEST|24000012|CENTRALE AUTOMOBILE CHERIFIENNE|Reparation||PS09|AUDI Q8 32212-B-7 Basé sur Demande d&#039;achat 23000398.|1.00|5000.00|0.00|5000.00|5000.00|23000288|1.00|
AM_PROINVEST|24000021|MAROC TELECOM IAM|Abonnement Internet &amp; Télephone||PS08|CLIENT N° 5.14605.00.00.100004;MOBILE ANNEE 2024 Basé sur Demande d&#039;achat 24000020.|12.00|1000.00|0.00|12000.00|12000.00|||
AM_PROINVEST|24000022|MAROC TELECOM IAM|Abonnement Internet &amp; Télephone||PS08|CLIENT N°8.12231311.00.00.100002; INTERNET ANNEE 2024 Basé sur Demande d&#039;achat 24000021.|12.00|1000.00|0.00|12000.00|12000.00|||
AM_PROINVEST|24000023|MAROC TELECOM IAM|Abonnement Internet &amp; Télephone||PS08|CLIENT N°°8.12231311.00.00.100001; FIXE ANNEE 2024. Basé sur Demande d&#039;achat 24000022.|12.00|1000.00|0.00|12000.00|12000.00|||
AM_PROINVEST|24000025|MICROSHOP|Reparation|Afficheur|PS08|PC de Mme SBIRY Basé sur Demande d&#039;achat 24000024.|1.00|1980.00|0.00|1980.00|1980.00|24000018|1.00|
AM_PROINVEST|24000029|ACCORD SYSTEMS|Pointeuse HIK VISION + pose et fixation||PS04|Basé sur Demande d&#039;achat 24000028.|1.00|2160.00|0.00|2160.00|2160.00|24000098|1.00|
AM_PROINVEST|24000031|FINASSURE|Assurance AT||PS08|ASSURANCE ACCIDENTS DE TRAVAIL DU 01.01.2024 AU 31.12.2024 Basé sur Demande d&#039;achat 24000031.|1.00|22421.36|0.00|22421.36|22421.36|24000029|1.00|
AM_PROINVEST|24000032|FINASSURE|Assurances multirisque||PS08|ASSRANCE MULTIRISQUES INDUSTRIELLE DU 01.01.2024 AU 31.12.2024 Basé sur Demande d&#039;achat 24000030.|1.00|11398.19|0.00|11398.19|11398.19|24000027|1.00|
AM_PROINVEST|24000034|FINASSURE|Assurances multirisque||PS08|ASSURANCE MULTIRISQUES INDUSTIELLE DU 01/01/2024 AU 31/12/2024 Basé sur Demande d&#039;achat 24000032.|1.00|35347.08|0.00|35347.08|35347.08|24000028|1.00|
AM_PROINVEST|24000042|FINASSURE|Assurance AT||PS08|AVENANT DE REGULARISATION ACCIDENTS DE TRAVAIL DU 01/01/2023 AU 31/12/2023 Basé sur Demande d&#039;achat 24000034.|1.00|5478.48|0.00|5478.48|5478.48|24000030|1.00|
AM_PROINVEST|24000045|NACIRECK PLUS|Securite||PS08|Basé sur Demande d&#039;achat 24000043.|7.00|200.00|0.00|1400.00|1400.00|24000075|7.00|
AM_PROINVEST|24000046|FINASSURE|Assurance RC exploitation||PS08|ASSURANCE RC EXPLOITATION DU 01/01/2024  AU 31/12/2024 Basé sur Demande d&#039;achat 24000044.|1.00|10681.30|0.00|10681.30|10681.30|24000041|1.00|
AM_PROINVEST|24000047|FINASSURE|Assurance auto||PS08|ASSURANCE AUTI AUDI Q8 DU 09/05/2023 AU 31/12/2023 Basé sur Demande d&#039;achat 24000045.|1.00|7418.55|0.00|7418.55|7418.55|24000039|1.00|
AM_PROINVEST|24000048|FINASSURE|Assurance auto||PS08|ASSURANCE AUTO FLOTTE DU 01/01/2024 AU 31/12/2024 UN MONTANT DE 83 741,19 FACTURE N° 72073 Basé sur Demande d&#039;achat 24000046.|1.00|83741.19|0.00|83741.19|83741.19|24000040|1.00|
AM_PROINVEST|24000049|INFO COPIE|Impression|PLAN|PS08|Basé sur Demande d&#039;achat 24000048.|2.00|70.00|0.00|140.00|140.00|24000037|2.00|
AM_PROINVEST|24000050|MFI Maroc SARL|Photocopie||PS08|LOCATION JANVIER 2024 Basé sur Demande d&#039;achat 24000047.|45247.00|0.07|0.00|3529.27|3529.27|24000038|45247.00|
AM_PROINVEST|24000050|MFI Maroc SARL|Location Photocopieur|TASKalfa 3010i|PS08|LOCATION JANVIER 2024 Basé sur Demande d&#039;achat 24000047.|1.00|1200.00|0.00|1200.00|1200.00|24000038|1.00|
AM_PROINVEST|24000051|2APM DISTRIBUTION|Vidange||PS08|SaLah Essaraoui; Matricule:29152-B-07 Basé sur Demande d&#039;achat 24000050.|1.00|680.00|0.00|680.00|680.00|||
AM_PROINVEST|24000051|2APM DISTRIBUTION|Reparation||PS08|SaLah Essaraoui; Matricule:29152-B-07 Basé sur Demande d&#039;achat 24000050.|1.00|830.00|0.00|830.00|830.00|||
AM_PROINVEST|24000052|Dr YASMINA BOUIZKRI|Honoraires des services|Janvier 2024|PS08|Médecin de travail Basé sur Demande d&#039;achat 24000049.|1.00|4000.00|0.00|4000.00|4000.00|24000036|1.00|
AM_PROINVEST|24000052|Dr YASMINA BOUIZKRI|Honoraires des services|Janvier 2024|PS08|Médecin de travail Basé sur Demande d&#039;achat 24000049.|1.00|4000.00|0.00|4000.00|4000.00|24000043|1.00|
AM_PROINVEST|24000052|Dr YASMINA BOUIZKRI|Honoraires des services|Décembre 2023|PS08|Médecin de travail Basé sur Demande d&#039;achat 24000049.|1.00|4000.00|0.00|4000.00|4000.00|23000305|1.00|
AM_PROINVEST|24000052|Dr YASMINA BOUIZKRI|Honoraires des services|Décembre 2023|PS08|Médecin de travail Basé sur Demande d&#039;achat 24000049.|1.00|4000.00|0.00|4000.00|4000.00|23000302|1.00|
AM_PROINVEST|24000053|EL HAMRI LARBI|Prestation de service||PS08|PAIE FEVRIER 2024 LHAMRI LARBI Basé sur Demande d&#039;achat 24000054.|1.00|3300.00|0.00|3300.00|3300.00|24000047|1.00|
AM_PROINVEST|24000055|FINASSURE|Assurance AT||PS08|AVENANT DE REGULARISATION ACCIDENTS DE TRAVAIL du 01/01/2023 au 31/12/2023 de 5 478,48 Basé sur Demande d&#039;achat 24000062.|1.00|5478.48|0.00|5478.48|5478.48|24000045|1.00|
AM_PROINVEST|24000056|YEVENTS|Prestation de service|Diffusion sonore + table mixage + cablage et accessoires son/Disk jockey/Arche de ballon (porte d&#039;en|PS02|Animation carnavale du 07/03/2024 Basé sur Demande d&#039;achat 24000063.|1.00|6000.00|0.00|6000.00|6000.00|24000074|1.00|
AM_PROINVEST|24000057|ATTAR OMAR|Prestation de service|||PAIE FEVRIER 2024 ATTAR OMAR Basé sur Demande d&#039;achat 24000061.|1.00|5000.00|0.00|5000.00|5000.00|24000048|1.00|
AM_PROINVEST|24000058|KOURBANI HASSAN|Prestation de service|||PAIE FEVRIER 2024 KOURBANI HASSAN Basé sur Demande d&#039;achat 24000060.|1.00|5000.00|0.00|5000.00|5000.00|24000049|1.00|
AM_PROINVEST|24000059|QILACH HOUCINE|Prestation de service|||PAIE FEVRIER 2024 QILACH HOUCINE Basé sur Demande d&#039;achat 24000059.|1.00|7500.00|0.00|7500.00|7500.00|24000052|1.00|
AM_PROINVEST|24000060|SALAH NAJIB|Prestation de service|||PAIE FEVRIER 2024 NAJIB SALAH Basé sur Demande d&#039;achat 24000058.|1.00|5500.00|0.00|5500.00|5500.00|24000050|1.00|
AM_PROINVEST|24000061|NIYA HICHAM|Prestation de service|||PAIE FEVRIER 2024 NIYA HICHAM Basé sur Demande d&#039;achat 24000057.|1.00|2100.00|0.00|2100.00|2100.00|24000051|1.00|
AM_PROINVEST|24000062|BEST INFO TECH|STANDARD TÉLÉPHONIQUE|Grandstream+Appareil telephonique(6) yc installation|PS04|Bénéficiaire : Accueil ( remplacement de l&#039;ancien) Basé sur Demande d&#039;achat 24000055.|1.00|6083.99|15.82|6084.00|5121.34|24000080|1.00|
AM_PROINVEST|24000063|MICROSHOP|PC DELL OPTIPLEX|7010 i5-13500 8GB DDR4/512GB SSD.|PS04|Bénéficiaire : Salle informatique des professeurs et élèves Basé sur Demande d&#039;achat 24000051.|5.00|8760.00|0.00|43800.00|43800.00|||
AM_PROINVEST|24000064|NEAB|Visite technique||PS08|Pour le véhicule 14563-b-7avant le 06/04/2024 Basé sur Demande d&#039;achat 24000068.|1.00|550.00|0.00|550.00|550.00|||
AM_PROINVEST|24000065|NEAB|Visite technique||PS08|Pour le véhicule 13099-b-7Avant le 07/05/2024 Basé sur Demande d&#039;achat 24000067.|1.00|550.00|0.00|550.00|550.00|||
AM_PROINVEST|24000066|NEAB|Visite technique||PS08|Pour le véhicule 37636-B-7Avant le 06/04/2024 Basé sur Demande d&#039;achat 24000066.|1.00|570.00|0.00|570.00|570.00|24000081|1.00|
AM_PROINVEST|24000067|NEAB|Visite technique||PS08|Pour le vehicule 21405-B-7avant le 25/03/2024 Basé sur Demande d&#039;achat 24000065.|1.00|570.00|0.00|570.00|570.00|24000072|1.00|
AM_PROINVEST|24000068|NEAB|Visite technique||PS08|Véhicule: 44776-B-7Avant le 27/03/2024 Basé sur Demande d&#039;achat 24000064.|1.00|570.00|0.00|570.00|570.00|24000073|1.00|
AM_PROINVEST|24000069|STE AUDACE AUTO|Vidange||PS08|SaLah Essaraoui; Matricule:29152-B-07. Basé sur Demande d&#039;achat 24000069.|1.00|635.60|0.00|635.60|635.60|24000076|1.00|
AM_PROINVEST|24000070|FINASSURE|Assurance RC scolaire||PS08|AVENANT D&#039;EXTENSION  DU 13/12/2023  AU 13/12/2023 de 672,50 DHS Basé sur Demande d&#039;achat 24000070.|1.00|672.50|0.00|672.50|672.50|24000056|1.00|
AM_PROINVEST|24000071|FINASSURE|Assurance RC scolaire||PS08|AVNANT D&#039;EXTENSION DU 19/12/2023  AU  19/12/2023 DE 528,22  DHS Basé sur Demande d&#039;achat 24000071.|1.00|528.22|0.00|528.22|528.22|24000055|1.00|
AM_PROINVEST|24000072|FINASSURE|Assurance RC scolaire||PS08|AVENANT D EXTENSION DU 22/12/2023  AU  31/08/2024 DE 148,17 DHS Basé sur Demande d&#039;achat 24000072.|1.00|148.17|0.00|148.17|148.17|24000054|1.00|
AM_PROINVEST|24000073|FINASSURE|Assurance RC scolaire||PS08|AVENANT D EXTENTION DU 24/11/2023  AU 31/08/2023 DE 355,79 DHS Basé sur Demande d&#039;achat 24000073.|1.00|355.79|0.00|355.79|355.79|24000057|1.00|
AM_PROINVEST|24000074|FINASSURE|Assurance RC scolaire||PS08|AVENANT D EXXTENSION DU 29/11/2023 AU 29/11/2023  DE 440,24 DHS Basé sur Demande d&#039;achat 24000074.|1.00|440.24|0.00|440.24|440.24|24000058|1.00|
AM_PROINVEST|24000075|FINASSURE|Assurance RC exploitation||PS08|AVENANT D EXXTENSION DU 23/11/2023 AU 31/08/2023 DE 107,11   DHS Basé sur Demande d&#039;achat 24000075.|1.00|107.11|0.00|107.11|107.11|24000059|1.00|
AM_PROINVEST|24000076|OUFKIR SAID|Prestation de service|Cablage DVR + Activation serveur + Insertion 5 SIM / 5 Vécules|PS08|Pour les 5 caméras des 5 transports scolaires Basé sur Demande d&#039;achat 24000076.|1.00|2500.00|0.00|2500.00|2500.00|24000053|1.00|
AM_PROINVEST|24000077|FINASSURE|Assurance RC scolaire||PS08|AVENANT D&#039;EXTENSION DE GARANTIE  LE 03/02/2024 DE 148.17 DHS Basé sur Demande d&#039;achat 24000077.|1.00|148.17|0.00|148.17|148.17|24000070|1.00|
AM_PROINVEST|24000078|FINASSURE|Assurance RC scolaire||PS08|AVENAANT D&#039;EXTENSION DE GARANTIE  LE 12/02/2024 D&#039;UN MONTANT DE 60.19 DHS Basé sur Demande d&#039;achat 24000078.|1.00|60.19|0.00|60.19|60.19|24000067|1.00|
AM_PROINVEST|24000079|FINASSURE|Assurance RC scolaire||PS08|AVENANT D&#039;EXTENSION DE GARANTIE LE 21/02/2024 D&#039;UN MONTANT DE 250.22 DHS Basé sur Demande d&#039;achat 24000079.|1.00|250.22|0.00|250.22|250.22|24000071|1.00|
AM_PROINVEST|24000080|FINASSURE|Assurance RC scolaire||PS08|AVENANT D&#039;EXTENSION RC SCOLAIRE LE 10/01/2024  de    107,11 DHS Basé sur Demande d&#039;achat 24000087.|1.00|107.11|0.00|107.11|107.11|24000061|1.00|
AM_PROINVEST|24000081|FINASSURE|Assurance RC scolaire||PS08|AVENANT D&#039;EXTENSION DU 07/02/2024 DE 165,76 DHS Basé sur Demande d&#039;achat 24000088.|1.00|165.76|0.00|165.76|165.76|24000060|1.00|
